2026-06-25 23:38:50 | INFO   | feature_C_engine_4.py        | 303  : _call_batch              | 📊 Calling sma_batch_df with filtered kwargs: {'column': 'H1_close', 'period': 20, 'min_periods': -1, 'result_col': 'sma', 'add_para_to_names': False}
2026-06-25 23:38:50 | INFO   | feature_C_engine_4.py        | 119  : _apply_spec              | 🔄 Applying stochastic (mode=train) with args=[], kwargs={'k_period': 14, 'd_period': 3, 'slowing': 3}
2026-06-25 23:38:50 | INFO   | feature_C_engine_4.py        | 303  : _call_batch              | 📊 Calling stochastic_batch_df with filtered kwargs: {'k_period': 14, 'd_period': 3, 'high_col': 'H1_high', 'low_col': 'H1_low', 'close_col': 'H1_close', 'smooth_k': 3, 'method': 'sma', 'min_periods': -1, 'k_col': 'stoch_k', 'd_col': 'stoch_d', 'add_para_to_names': False}
2026-06-25 23:38:52 | INFO   | feature_C_engine_4.py        | 119  : _apply_spec              | 🔄 Applying supertrend (mode=train) with args=[], kwargs={'period': 10, 'multiplier': 3}
2026-06-25 23:38:52 | INFO   | feature_C_engine_4.py        | 303  : _call_batch              | 📊 Calling supertrend_batch_df with filtered kwargs: {'period': 10, 'multiplier': 3, 'high_col': 'H1_high', 'low_col': 'H1_low', 'close_col': 'H1_close', 'atr_method': 'wilder', 'min_periods': -1, 'super_col': 'supertrend', 'direction_col': 'st_direction', 'add_para_to_names': False}
2026-06-25 23:38:52 | INFO   | feature_C_engine_4.py        | 119  : _apply_spec              | 🔄 Applying tema (mode=train) with args=[], kwargs={'column': 'close', 'period': 20}
2026-06-25 23:38:52 | INFO   | feature_C_engine_4.py        | 303  : _call_batch              | 📊 Calling tema_batch_df with filtered kwargs: {'price_col': 'H1_close', 'n': 20, 'min_periods': -1, 'result_col': 'tema', 'add_para_to_names': False}
2026-06-25 23:38:53 | INFO   | feature_C_engine_4.py        | 119  : _apply_spec              | 🔄 Applying true_range (mode=train) with args=[], kwargs={}
2026-06-25 23:38:53 | INFO   | feature_C_engine_4.py        | 303  : _call_batch              | 📊 Calling truerange_batch_df with filtered kwargs: {'high_col': 'H1_high', 'low_col': 'H1_low', 'close_col': 'H1_close', 'result_col': 'true_range', 'add_para_to_names': False}
2026-06-25 23:38:53 | INFO   | feature_C_engine_4.py        | 119  : _apply_spec              | 🔄 Applying williams_r (mode=train) with args=[], kwargs={'period': 14}
2026-06-25 23:38:53 | INFO   | feature_C_engine_4.py        | 303  : _call_batch              | 📊 Calling williamsr_batch_df with filtered kwargs: {'high_col': 'H1_high', 'low_col': 'H1_low', 'close_col': 'H1_close', 'n': 14, 'min_periods': -1, 'result_col': 'williamsr', 'add_para_to_names': False}
2026-06-25 23:38:54 | INFO   | feature_C_engine_4.py        | 119  : _apply_spec              | 🔄 Applying wma (mode=train) with args=[], kwargs={'column': 'close', 'period': 20}
2026-06-25 23:38:54 | INFO   | feature_C_engine_4.py        | 303  : _call_batch              | 📊 Calling wma_batch_df with filtered kwargs: {'column': 'H4_close', 'period': 20, 'min_periods': -1, 'result_col': 'wma', 'add_para_to_names': False}
2026-06-25 23:38:54 | INFO   | feature_C_engine_4.py        | 88   : execute                  | ✅ Feature calculation complete. Result shape: (125828, 72), Columns: ['H1_open', 'H1_high', 'H1_low', 'H1_close', 'H1_volume', 'H1_spread', 'H4_open', 'H4_high', 'H4_low', 'H4_close', 'H4_volume', 'H4_spread', 'H4_start_time', 'D1_open', 'D1_high', 'D1_low', 'D1_close', 'D1_volume', 'D1_spread', 'D1_start_time', 'hour_of_day', 'hour_sin', 'hour_cos', 'day_of_week', 'dow_sin', 'dow_cos', 'session_asia', 'session_london', 'session_newyork', 'qc_gap', 'qc_spike', 'qc_stale', 'aroon_up', 'aroon_down', 'aroon_oscillator', 'atr', 'bb_upper', 'bb_middle', 'bb_lower', 'bb_width', 'bb_percent', 'cci', 'dema', 'ema', 'ha_open', 'ha_high', 'ha_low', 'ha_close', 'hma', 'kama', 'kc_upper', 'kc_middle', 'kc_lower', 'kc_width', 'kc_percent', 'macd', 'macd_signal', 'macd_hist', 'mfi', 'obv', 'psar', 'roc', 'rsi', 'sma', 'stoch_k', 'stoch_d', 'supertrend', 'st_direction', 'tema', 'true_range', 'williamsr', 'wma']
2026-06-25 23:42:31 | INFO   | main_6_2_orch.py             | 80   : setup_logging            | ============================================================
2026-06-25 23:42:31 | INFO   | main_6_2_orch.py             | 81   : setup_logging            | Bot-RL-2 Starting - Listener-based, No Polling
2026-06-25 23:42:31 | INFO   | main_6_2_orch.py             | 82   : setup_logging            | ============================================================
2026-06-25 23:42:32 | INFO   | config_loader.py             | 476  : reload                   | Config loaded: E:\Bot-RL-2\f01_config\config.yaml (env prefix=BOT_)
2026-06-25 23:42:32 | INFO   | main_6_2_orch.py             | 197  : load_configuration       | Configuration loaded successfully
2026-06-25 23:42:32 | INFO   | feature_B_bootstrap.py       | 146  : build_feature_system     | function 'build_feature_system' is started
2026-06-25 23:42:32 | INFO   | config_loader.py             | 476  : reload                   | Config loaded: E:\Bot-RL-2\f01_config\config.yaml (env prefix=BOT_)
2026-06-25 23:42:32 | INFO   | main_6_2_orch.py             | 281  : _init_components         | DataHandler initialized in batch mode for train
2026-06-25 23:42:34 | INFO   | data_handler_F_2.py          | 343  : _check_ohlc              | OHLC validity OK for 'H1'.
2026-06-25 23:42:34 | WARNING | data_handler_F_2.py          | 682  : build                    | NaN after ffill for TF 'H4': 7 cells remain. These rows will be dropped to avoid lookahead.
2026-06-25 23:42:34 | INFO   | data_handler_F_2.py          | 343  : _check_ohlc              | OHLC validity OK for 'H4'.
2026-06-25 23:42:35 | WARNING | data_handler_F_2.py          | 682  : build                    | NaN after ffill for TF 'D1': 77 cells remain. These rows will be dropped to avoid lookahead.
2026-06-25 23:42:35 | INFO   | data_handler_F_2.py          | 343  : _check_ohlc              | OHLC validity OK for 'D1'.
2026-06-25 23:42:35 | INFO   | data_handler_F_2.py          | 482  : _finalize_dataframe      | NaN check passed: no NaN in data columns.
2026-06-25 23:42:35 | INFO   | data_handler_F_2.py          | 499  : _finalize_dataframe      | Column check passed: all expected OHLC columns present.
2026-06-25 23:42:35 | INFO   | main_6_2_orch.py             | 303  : start_batch              | Batch mode started: 125828 rows
2026-06-25 23:42:52 | INFO   | feature_C_engine_4.py        | 70   : execute                  | ✅ Parsed 2 feature specs: ["sma(column='close',period=20)@H1", "sma(column='close',period=20)@H4"]
2026-06-25 23:42:52 | INFO   | feature_C_engine_4.py        | 75   : execute                  | ✅ Execution order: ["sma(column='close',period=20)@H1", "sma(column='close',period=20)@H4"]
2026-06-25 23:42:52 | INFO   | feature_C_engine_4.py        | 119  : _apply_spec              | 🔄 Applying sma (mode=train) with args=[], kwargs={'column': 'close', 'period': 20}
2026-06-25 23:42:52 | INFO   | feature_C_engine_4.py        | 303  : _call_batch              | 📊 Calling sma_batch_df with filtered kwargs: {'column': 'H1_close', 'period': 20, 'min_periods': -1, 'result_col': 'sma', 'add_para_to_names': False}
2026-06-25 23:42:53 | INFO   | feature_C_engine_4.py        | 119  : _apply_spec              | 🔄 Applying sma (mode=train) with args=[], kwargs={'column': 'close', 'period': 20}
